name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance RGB Pro 16 GB,52.99,43600,28,3.312,Black,10.0,18.0
G.Skill Ripjaws V 32 GB,67.99,43600,216,2.125,Black,10.0,18.0
G.Skill Ripjaws S5 32 GB,109.99,56400,216,3.437,Black,10.0,32.0
G.Skill Ripjaws S5 64 GB,194.99,55600,232,3.047,Black,10.0,28.0
TEAMGROUP T-Force Delta RGB 64 GB,184.99,56000,232,2.89,White / Silver,12.667,38.0
G.Skill Trident Z5 RGB 48 GB,399.99,58400,224,8.333,White,9.524,40.0
Corsair Dominator Titanium 64 GB,359.99,56400,416,5.625,White,10.0,32.0
ADATA XPG Lancer Blade RGB 32 GB,148.03,56400,216,4.626,Black,10.0,32.0
Corsair Vengeance RGB 64 GB,227.99,56400,232,3.562,Black / Gray,10.0,32.0
G.Skill Trident Z5 Neo RGB 32 GB,124.99,56000,216,3.906,Silver / Black,10.0,30.0
TEAMGROUP T-Force Vulcan Z 16 GB,34.99,43200,28,2.187,Gray,10.0,16.0
Crucial Classic 16 GB,55.99,55600,28,3.499,Black,16.429,46.0
G.Skill Ripjaws V 32 GB,74.99,44000,216,2.343,Black,9.0,18.0
Silicon Power SP016GLLTU160N22 16 GB,17.98,31600,28,1.124,Green,13.75,11.0
TEAMGROUP T-Create Expert 32 GB,94.99,56000,216,2.968,Black,12.667,38.0
Kingston HyperX Fury 8 GB,50.99,42666,18,6.374,Black,12.003,16.0
Corsair Vengeance 32 GB,124.99,56000,216,3.906,Black / Silver,10.0,30.0
Corsair Vengeance RGB 32 GB,135.99,56000,216,4.25,White / Silver,10.0,30.0
KingBank SharpBlade 32 GB,86.99,56000,216,2.718,Black,12.0,36.0
Patriot Viper Venom 32 GB,97.99,56000,216,3.062,Black / White,12.0,36.0
TEAMGROUP T-Force Delta RGB 32 GB,121.99,57200,216,3.812,White / Gray,9.444,34.0
Corsair Dominator Platinum RGB 64 GB,349.99,56600,416,5.469,Black,9.697,32.0
Corsair Vengeance 192 GB,629.99,55200,448,3.281,Black,14.615,38.0
Kingston FURY Beast 16 GB,64.39,55200,28,4.024,Black,15.385,40.0
Corsair Vengeance LPX 64 GB,142.99,43600,232,2.234,Black,10.0,18.0
Crucial CT8G48C40U5 8 GB,22.99,54800,18,2.874,Black,16.667,40.0
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,56000,216,2.718,Black,10.0,30.0
G.Skill Aegis 32 GB,65.98,43200,216,2.062,Red / Black,10.0,16.0
TEAMGROUP Elite 32 GB,75.98,54800,216,2.374,Black,16.667,40.0
G.Skill Trident Z5 RGB 48 GB,249.99,58000,224,5.208,Black,10.0,40.0
TEAMGROUP T-Create Expert 64 GB,184.99,56000,232,2.89,Black,11.333,34.0
Corsair Vengeance RGB 32 GB,124.99,56000,216,3.906,Black / Gray,10.0,30.0
ADATA XPG Lancer Blade RGB 32 GB,109.99,56000,216,3.437,Black,10.0,30.0
Corsair Vengeance LPX 16 GB,44.98,43000,28,2.811,Black / Yellow,10.0,15.0
Kingston Server Premier 64 GB,176.49,43200,164,2.758,Unknown,13.75,22.0
Crucial CT8G4DFRA32A 8 GB,19.98,43200,18,2.498,Green,13.75,22.0
Corsair Dominator Titanium 32 GB,167.99,56000,216,5.25,Black,10.0,30.0
Kingston FURY Beast RGB 64 GB,224.99,56000,232,3.515,Black,12.0,36.0
Corsair Vengeance 64 GB,172.99,55600,232,2.703,Black,14.286,40.0
G.Skill Ripjaws V 16 GB,39.99,43600,28,2.499,Black,10.0,18.0
Corsair Vengeance RGB Pro 64 GB,189.99,43600,416,2.969,Black,10.0,18.0
Corsair Vengeance 32 GB,159.99,57200,216,5.0,Gray,9.444,34.0
TEAMGROUP T-Force Vulcan 32 GB,87.99,55200,216,2.75,Black,15.385,40.0
Klevv BOLT V 32 GB,98.99,56000,216,3.093,Black,10.0,30.0
Corsair Vengeance 32 GB,99.99,55600,216,3.125,Black / Gray,14.286,40.0
Kingston ValueRAM 4 GB,11.99,42666,14,2.998,Green / Black,14.254,19.0
TEAMGROUP T-Force Delta RGB 32 GB,102.99,56400,216,3.218,Black,10.0,32.0
Crucial Pro 96 GB,259.99,55600,248,2.708,Black,16.429,46.0
TEAMGROUP T-Force Delta RGB 16 GB,46.99,43200,28,2.937,White,10.0,16.0
G.Skill Trident Z RGB 16 GB,54.99,43200,28,3.437,Black,10.0,16.0
Corsair Dominator Platinum RGB 64 GB,299.99,56800,232,4.687,Black,11.765,40.0
G.Skill Ripjaws S5 64 GB,204.99,56400,232,3.203,Black,10.0,32.0
Corsair Vengeance RGB Pro 32 GB,117.99,43200,48,3.687,Black,10.0,16.0
Corsair Vengeance RGB 32 GB,104.95,55600,216,3.28,Black / Gray,14.286,40.0
G.Skill Trident Z RGB 32 GB,82.98,43600,216,2.593,Black,10.0,18.0
Corsair Vengeance 96 GB,339.99,56000,248,3.542,Black / Silver,10.0,30.0
Samsung Green 8 GB,14.0,42133,18,1.75,Green / Black,14.065,15.0
ADATA XPG SPECTRIX D50 16 GB,54.99,43200,28,3.437,White,10.0,16.0
TEAMGROUP T-Create Expert 32 GB,60.99,43600,216,1.906,Gray,10.0,18.0
Corsair Vengeance 32 GB,102.99,55200,216,3.218,White,15.385,40.0
TEAMGROUP T-Force Delta RGB 64 GB,184.99,56000,232,2.89,Black / Silver,12.667,38.0
Corsair Dominator Titanium 64 GB,289.99,56000,232,4.531,White,10.0,30.0
Corsair Vengeance RGB 32 GB,117.99,56000,216,3.687,White / Silver,12.0,36.0
Supermicro MEM-DR412L-SL02-LR26 128 GB,0.0,42666,1128,0.0,Green / Black,16.504,22.0
TEAMGROUP Elite 16 GB,31.99,43200,28,1.999,Black,13.75,22.0
Kingston FURY Beast 16 GB,49.0,43600,28,3.062,Black,9.444,17.0
Kingston FURY Beast 128 GB,445.9,55600,432,3.484,White,14.286,40.0
Samsung M378A1K43CB2-CRC 8 GB,15.5,42400,18,1.938,Green,14.167,17.0
G.Skill Trident Z5 RGB 32 GB,164.99,57600,216,5.156,Black,9.474,36.0
Kingston ValueRAM 4 GB,22.6,43200,14,5.65,Green,13.75,22.0
Corsair Vengeance RGB 32 GB,159.99,57200,216,5.0,Black,9.444,34.0
G.Skill Trident Z5 Neo RGB 32 GB,109.99,56400,216,3.437,Unknown,10.0,32.0
TEAMGROUP T-Force Delta RGB 32 GB,104.28,56000,216,3.259,Black,12.667,38.0
Corsair Vengeance 32 GB,114.99,56000,216,3.593,Black,12.0,36.0
Patriot Viper Elite 5 RGB 32 GB,99.99,56200,216,3.125,White,13.548,42.0
Crucial Pro 64 GB,116.99,43200,232,1.828,Black / Green,13.75,22.0
G.Skill Trident Z5 RGB 32 GB,189.99,57800,216,5.937,Black,9.231,36.0
G.Skill Trident Z RGB 128 GB,294.99,43600,432,2.305,Black,10.0,18.0
G.Skill Trident Z5 Neo RGB 64 GB,214.99,56000,232,3.359,Silver / Black,10.0,30.0
TEAMGROUP T-Create Expert 32 GB,94.99,56400,216,2.968,White,10.0,32.0
Corsair Vengeance RGB 96 GB,349.99,56000,248,3.646,Black / Silver,10.0,30.0
G.Skill Ripjaws V 32 GB,84.99,44400,216,2.656,Black,8.636,19.0
KingBank SharpBlade RGB 32 GB,97.99,56400,216,3.062,White,10.0,32.0
Patriot Viper Venom 32 GB,112.99,57000,216,3.531,Black / White,9.143,32.0
