name,price,interface,color
StarTech USB31000SPTW,30.31,USB Type-A 3.2 Gen 1,Unknown
Edimax EN-9130TXL,0.0,PCI,Unknown
Syba SI-ADA24037,0.0,USB Type-A 3.2 Gen 1,Unknown
SIIG CN-GP1111-S1,0.0,PCIe x4,Unknown
SIIG CN-GP4111-S1,0.0,PCIe x4,Unknown
SIIG JU-NE0711-S1,0.0,USB Type-A 3.2 Gen 1,Black
Syba SY-PEX24056,0.0,PCIe x4,Green / Black
Supermicro SGP-i4,0.0,PCIe x4,Green / Silver
Rosewill RNG-408U,0.0,USB Type-C 3.2 Gen 1,Black
V7 V7UCRJ45-BLK-1N,24.99,USB Type-C 3.2 Gen 1,Black
SIIG JU-NE0621-S2,0.0,USB Type-A 3.2 Gen 1,White
Rosewill RC-20001,0.0,PCIe x1,Black
