name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i5-8500T,0,6,2.1,3.5,35,Intel UHD Graphics 630,FALSE
AMD Ryzen 3 1200 (12nm),105,4,3.1,3.4,65,Unknown,FALSE
AMD Ryzen 5 3600,262.86,6,3.6,4.2,65,Unknown,TRUE
Intel Core i5-2500,0,4,3.3,0,95,Intel HD Graphics 2000,FALSE
Intel Core i3-2100,49,2,3.1,0,65,Intel HD Graphics 2000,TRUE
AMD Ryzen 5 2600X,0,6,3.6,4.2,95,Unknown,TRUE
Intel Xeon E5-2683 V4,189.95,16,2.1,3,120,Unknown,TRUE
Intel Core i9-10850KA Avengers Limited Edition,0,10,3.6,5.2,125,Intel UHD Graphics 630,TRUE
Intel Celeron G3900,39.9,2,2.8,0,51,Intel HD Graphics 510,FALSE
Intel Core i7-6850K,115,6,3.6,3.8,140,Unknown,TRUE
Intel Core i3-4170,0,2,3.7,0,54,Intel HD Graphics 4400,TRUE
Intel Core i7-7700K,0,4,4.2,4.5,91,Intel HD Graphics 630,TRUE
Intel Core i9-7980XE,1156.2,18,2.6,4.4,165,Unknown,TRUE
Intel Xeon E5-2698 V3,0,16,2.3,3.6,135,Unknown,TRUE
Intel Core i3-3220,0,2,3.3,0,55,Intel HD Graphics 2500,TRUE
AMD FX-8370,234.98,8,4,4.3,125,Unknown,FALSE
AMD Ryzen 5 3600X,0,6,3.8,4.4,95,Unknown,TRUE
Intel Celeron G5905,0,2,3.5,0,58,Intel UHD Graphics 610,FALSE
AMD Threadripper 2970WX,1099.99,24,3,4.2,250,Unknown,TRUE
Intel Core i7-9700F,395.34,8,3,4.7,65,Unknown,FALSE
Intel Core i7-4820K,205.86,4,3.7,3.9,130,Unknown,TRUE
Intel Core i7-5930K,0,6,3.5,3.7,140,Unknown,TRUE
AMD Threadripper 2920X,707.8,12,3.5,4.3,180,Unknown,TRUE
AMD A4-6300,46.79,2,3.7,3.9,65,Radeon HD 8370D,FALSE
AMD Ryzen 7 3800X,0,8,3.9,4.5,105,Unknown,TRUE
Intel Core i5-13500T,0,14,1.6,4.6,35,Intel UHD Graphics 770,TRUE
AMD Athlon X2 340,0,2,3.2,0,65,Unknown,FALSE
Intel Pentium G4560,133.41,2,3.5,0,54,Intel HD Graphics 610,TRUE
Intel Xeon E5-2697 V4,0,18,2.3,3.6,145,Unknown,TRUE
AMD FX-8300,117.33,8,3.3,0,95,Unknown,FALSE
Intel Core i7-9700K,0,8,3.6,4.9,95,Intel UHD Graphics 630,FALSE
Intel Core i7-6700K,0,4,4,4.2,91,Intel HD Graphics 530,TRUE
Intel Core i3-2120,150.59,2,3.3,0,65,Intel HD Graphics 2000,TRUE
Intel Core i7-7820X,0,8,3.6,4.5,140,Unknown,TRUE
Intel Core i5-13600,0,14,2.7,5,65,Intel UHD Graphics 770,TRUE
AMD 5350,0,4,2.05,0,25,Radeon HD 8400,FALSE
Intel Core i5-9400,110,6,2.9,4.1,65,Intel UHD Graphics 630,FALSE
Intel Core i3-4160,0,2,3.6,0,54,Intel HD Graphics 4400,TRUE
Intel Core i5-3470S,50,4,2.9,0,65,Intel HD Graphics 2500,FALSE
Intel Core i7-6950X,506.35,10,3,3.5,140,Unknown,TRUE
Intel Core i7-5960X,0,8,3,3.5,140,Unknown,TRUE
Intel Core i9-10920X,799,12,3.5,4.8,165,Unknown,TRUE
Intel Xeon E5-2630 V3,169.95,8,2.4,3.2,85,Unknown,TRUE
Intel Core i5-7400T,0,4,2.4,3,35,Intel HD Graphics 630,FALSE
Intel Pentium G2020,34.99,2,2.9,0,55,Intel HD Graphics,FALSE
Intel Pentium Gold G5400,72.95,2,3.7,0,58,Intel UHD Graphics 610,TRUE
Intel Core i9-9980XE,1498.95,18,3,4.4,165,Unknown,TRUE
Intel Xeon E5-1650 V3,54.46,6,3.5,3.8,140,Unknown,TRUE
Intel Core i7-6700,354.99,4,3.4,4,65,Intel HD Graphics 530,TRUE
Intel Xeon E5-2687W V4,1900.16,12,3,3.5,160,Unknown,TRUE
Intel Core i7-13700T,0,16,1.4,4.9,35,Unknown,TRUE
Intel Core i5-9600K,0,6,3.7,4.6,95,Intel UHD Graphics 630,FALSE
AMD FX-6350,100,6,3.9,0,125,Unknown,FALSE
Intel Core i7-3930K,298.98,6,3.2,0,130,Unknown,TRUE
Intel Xeon E5-2699 V3,0,18,2.3,3.6,145,Unknown,TRUE
Intel Core i5-3330,0,4,3,0,77,Intel HD Graphics 2500,FALSE
Intel Core i7-980X Extreme Edition,153.64,6,3.33,0,130,Unknown,TRUE
Intel Xeon E5-2690 V4,1025.58,14,2.6,3.5,135,Unknown,TRUE
Intel Core i5-10600,349.95,6,3.3,4.8,65,Intel UHD Graphics 630,TRUE
Intel Core i5-3450,59,4,3.1,0,77,Intel HD Graphics 2500,FALSE
Intel Xeon E5-2697 V2,0,12,2.7,3.5,130,Unknown,TRUE
AMD Ryzen 7 1700X,0,8,3.4,3.8,95,Unknown,TRUE
