name,price,type,interface,capacity,price_per_gb,color
Western Digital ELEMENTS,129.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.032,Unknown
Western Digital My Book,244.99,Desktop,USB Type-A 3.2 Gen 2,12000,0.02,Black
Samsung T9 Portable,239.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.12,Black
Seagate One Touch,139.99,Desktop,USB Type-A 3.2 Gen 1,4000,0.035,Black
Western Digital My Passport,79.99,Portable,USB Type-A 3.2 Gen 1,2000,0.04,Blue
Western Digital ELEMENTS,0.0,Desktop,USB Type-A 3.2 Gen 1,3000,0.0,Unknown
Seagate Backup Plus Slim,150.0,Portable,USB Type-A 3.2 Gen 1,2000,0.075,Unknown
Toshiba Canvio Desk,0.0,Desktop,USB Type-A 3.2 Gen 1,4000,0.0,Unknown
Apricorn Padlock DT FIPS,989.75,Desktop,USB Type-A 3.2 Gen 1,18000,0.055,Black
Seagate Expansion,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Unknown
Sabrent ROCKET XTRM,0.0,Portable,Thunderbolt,4000,0.0,Silver
SanDisk Extreme Portable V2,89.99,Portable,USB Type-C 3.2 Gen 1,500,0.18,Black / Orange
Seagate Expansion,0.0,Portable,USB Type-C 3.2 Gen 1,500,0.0,Black
Apricorn Aegis Fortress,0.0,Portable,USB Type-A 3.2 Gen 1,16000,0.0,Black
SanDisk Professional PRO-Blade Transport,229.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.115,Black
TEAMGROUP PD20M Mag,90.99,Portable,USB Type-C 3.2 Gen 2,2000,0.045,Black
Silicon Power Bolt B75 Pro,74.79,Portable,USB Type-C 3.2 Gen 2,1000,0.075,Black
Kingston XS2000,71.06,Portable,USB Type-C 3.2 Gen 2x2,500,0.142,Silver
Silicon Power Bolt B75 Pro,209.99,Portable,USB Type-C 3.2 Gen 2,4000,0.052,Black
Crucial X9,143.99,Portable,USB Type-C 3.2 Gen 2,2000,0.072,Black
Silicon Power PC60,57.51,Portable,USB Type-C 3.2 Gen 2,512,0.112,Black
Lexar SL660 BLAZE,64.98,Portable,USB Type-C 3.2 Gen 2x2,512,0.127,Black
