name,price,type,interface,capacity,price_per_gb,color
Samsung T3 Portable,0.0,Portable,USB Type-C 3.2 Gen 1,500,0.0,Unknown
Samsung T3 Portable,0.0,Portable,USB Type-C 3.2 Gen 1,2000,0.0,Unknown
Seagate One Touch,133.58,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.134,Blue
Seagate One Touch,99.0,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.099,Silver
Seagate One Touch,99.99,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",1000,0.1,Black
Seagate One Touch,0.0,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.0,Blue
Seagate One Touch,160.02,Portable,"USB Type-A 3.2 Gen 2, USB Type-C 3.2 Gen 2",500,0.32,Silver
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Silver
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Blue
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Red
Seagate One Touch,109.99,Portable,USB Type-A 3.2 Gen 1,1000,0.11,Gray
Seagate One Touch,83.54,Portable,USB Type-A 3.2 Gen 1,2000,0.042,Blue
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Red
Seagate One Touch,149.0,Portable,USB Type-A 3.2 Gen 1,2000,0.074,Gray
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,4000,0.0,Red
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,4000,0.0,Gray
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Blue
Seagate One Touch,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Gray
Crucial X8,0.0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 2",500,0.0,Black
Silicon Power PC60,0.0,Portable,USB Type-C 3.2 Gen 2,4000,0.0,Black
Silicon Power PC60,0.0,Portable,USB Type-C 3.2 Gen 2,1920,0.0,Black
Silicon Power PC60,81.94,Portable,USB Type-C 3.2 Gen 2,1000,0.082,Black
Silicon Power PC60,138.97,Portable,USB Type-C 3.2 Gen 2,960,0.145,Black
Silicon Power Bolt B75 Pro,0.0,Portable,USB Type-C 3.2 Gen 2,512,0.0,Black
Silicon Power Bolt B75 Pro,0.0,Portable,USB Type-C 3.2 Gen 2,256,0.0,Black
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,4000,0.0,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,2000,0.0,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Silver
Silicon Power Bolt B75,222.69,Portable,USB Type-C 3.2 Gen 1,960,0.232,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,512,0.0,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,256,0.0,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,240,0.0,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,128,0.0,Silver
Silicon Power Bolt B75,0.0,Portable,USB Type-C 3.2 Gen 1,120,0.0,Silver
Silicon Power Stream S05,0.0,Portable,USB Type-A 3.2 Gen 1,5000,0.0,Black
Silicon Power Stream S05,0.0,Portable,USB Type-A 3.2 Gen 1,4000,0.0,Black
Silicon Power Stream S05,0.0,Portable,USB Type-A 3.2 Gen 1,2000,0.0,Black
Silicon Power Stream S05,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Black
VisionTek 901196,0.0,Portable,USB Type-C,1000,0.0,Black
VisionTek 901377,0.0,Portable,USB Type-C,4000,0.0,Black
VisionTek 901378,0.0,Portable,USB Type-C,8000,0.0,Black
Apricorn Aegis Fortress L3,227.99,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",500,0.456,Black
Apricorn Aegis Fortress L3,0.0,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.0,Black
Apricorn Aegis Fortress L3,295.47,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",2000,0.148,Black
Apricorn Aegis Fortress L3,394.34,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",4000,0.099,Black
Apricorn Aegis Fortress L3,428.04,Portable,"USB Type-A 3.2 Gen 1, USB Type-C 3.2 Gen 1",1000,0.428,Black
Apricorn NVX,317.75,Portable,USB Type-C 3.2 Gen 2,500,0.635,Black
Apricorn NVX,529.99,Portable,USB Type-C 3.2 Gen 2,1000,0.53,Black
Apricorn NVX,631.47,Portable,USB Type-C 3.2 Gen 2,2000,0.316,Black
Apricorn Aegis Fortress,198.56,Portable,USB Type-A 3.2 Gen 1,256,0.776,Black
Apricorn Aegis Fortress,769.0,Portable,USB Type-A 3.2 Gen 1,2000,0.385,Black
Apricorn Aegis Padlock 3.0,182.99,Portable,USB Type-A 3.2 Gen 1,1000,0.183,Black
Apricorn Aegis Padlock 3.0,216.99,Portable,USB Type-A 3.2 Gen 1,2000,0.108,Black
Apricorn Aegis Padlock 3.0,289.0,Portable,USB Type-A 3.2 Gen 1,512,0.564,Black
Apricorn Aegis Padlock 3.0,0.0,Portable,USB Type-A 3.2 Gen 1,1000,0.0,Black
Apricorn Aegis Padlock 3.0,724.95,Portable,USB Type-A 3.2 Gen 1,2000,0.362,Black
Apricorn Aegis Padlock 3.0,1267.5,Portable,USB Type-A 3.2 Gen 1,4000,0.317,Black
Apricorn Padlock SSD,458.76,Portable,USB Type-A 3.2 Gen 1,1000,0.459,Black
Apricorn Padlock SSD,604.99,Portable,USB Type-A 3.2 Gen 1,2000,0.302,Black
Sabrent Rocket Nano,0.0,Portable,USB Type-C 3.2 Gen 2,512,0.0,Silver
Sabrent Rocket Nano,0.0,Portable,USB Type-C 3.2 Gen 2,512,0.0,Black
Sabrent Rocket Nano,109.99,Portable,USB Type-C 3.2 Gen 2,512,0.215,Gold
Sabrent Rocket Nano,119.15,Portable,USB Type-C 3.2 Gen 2,512,0.233,Blue
Sabrent Rocket Nano,109.99,Portable,USB Type-C 3.2 Gen 2,512,0.215,Red
Sabrent Rocket Nano,0.0,Portable,USB Type-C 3.2 Gen 2,1000,0.0,Blue
Sabrent Rocket Nano,169.99,Portable,USB Type-C 3.2 Gen 2,1000,0.17,Red
Sabrent Rocket Nano,0.0,Portable,USB Type-C 3.2 Gen 2,2000,0.0,Black
Sabrent Rocket Nano,245.03,Portable,USB Type-C 3.2 Gen 2,2000,0.123,Gold
Sabrent Rocket Nano,263.48,Portable,USB Type-C 3.2 Gen 2,2000,0.132,Blue
Sabrent Rocket Nano,306.5,Portable,USB Type-C 3.2 Gen 2,2000,0.153,Red
Sabrent Rocket Nano Rugged,143.35,Portable,USB Type-C 3.2 Gen 2,512,0.28,Silver
Sabrent Rocket XTRM-Q,0.0,Portable,USB Type-C 3.2 Gen 2,500,0.0,Black
Sabrent Rocket XTRM-Q,0.0,Portable,USB Type-C 3.2 Gen 2,2000,0.0,Black
Sabrent Rocket Pro,199.99,Portable,USB Type-C 3.2 Gen 2,1000,0.2,Silver
Sabrent Rocket Pro,0.0,Portable,USB Type-C 3.2 Gen 2,2000,0.0,Silver
Sabrent Rocket Pro,0.0,Portable,USB Type-C 3.2 Gen 2,4000,0.0,Silver
Sabrent Rocket nano XTRM,169.99,Portable,USB Type-C 3.2 Gen 2,1000,0.17,Black
TEAMGROUP PD20M Mag,164.99,Portable,USB Type-C 3.2 Gen 2,2000,0.082,Black
Lexar SL210,0.0,Portable,USB Type-C 3.2 Gen 1,500,0.0,Black
Lexar SL210,0.0,Portable,USB Type-C 3.2 Gen 1,1000,0.0,Black
Lexar SL210,0.0,Portable,USB Type-C 3.2 Gen 1,2000,0.0,Black
Lexar Professional SL600,184.99,Portable,USB Type-C 3.2 Gen 2x2,2000,0.092,Black
Lexar Professional SL600,0.0,Portable,USB Type-C 3.2 Gen 2x2,512,0.0,Black
Lexar SL500,0.0,Portable,USB Type-C 3.2 Gen 2x2,4000,0.0,Black
Lexar SL500,174.26,Portable,USB Type-C 3.2 Gen 2x2,2000,0.087,Black
Lexar SL500,115.25,Portable,USB Type-C 3.2 Gen 2x2,1000,0.115,Black
Lexar SL500,0.0,Portable,USB Type-C 3.2 Gen 2x2,512,0.0,Black
TEAMGROUP T-Create CinemaPr P31,0.0,Portable,USB Type-C 3.2 Gen 2x2,4000,0.0,Black
TEAMGROUP T-Create CinemaPr P31,0.0,Portable,USB Type-C 3.2 Gen 2x2,2000,0.0,Black
TEAMGROUP T-Create CinemaPr P31,0.0,Portable,USB Type-C 3.2 Gen 2x2,1000,0.0,Black
TEAMGROUP T-Create CinemaPr P31,0.0,Portable,USB Type-C 3.2 Gen 2x2,1000,0.0,Gray
TEAMGROUP T-Create CinemaPr P31,0.0,Portable,USB Type-C 3.2 Gen 2x2,2000,0.0,Gray
