name,price,bd,dvd,cd,bd_write,dvd_write,cd_write
Samsung SH-224BB/RSBS,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/12,48/24
LG CH10LS20 OEM,0.0,10.0,16.0,48.0,Unknown,16/8/-/16/6/-/-,48/24
Lite-On DS-8A9SH-01,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
Pioneer BDR-208DBK,0.0,12.0,16.0,40.0,15/14/2/2,16/8/8/16/6/8/-,40/24
Plextor PX-891SA-28,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/12/12,48/32
Lite-On IHAS324-07,0.0,0.0,16.0,48.0,Unknown,24/8/12/24/6/-/-,48/32
LG GT80N,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
Samsung SH-118BB,0.0,0.0,18.0,48.0,Unknown,Unknown,Unknown
HP 652238-B21,0.0,0.0,8.0,24.0,Unknown,Unknown,Unknown
HP AR629AA,0.0,0.0,16.0,48.0,Unknown,Unknown,Unknown
Archgon CB-5021-GD,0.0,0.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/24
Pioneer BDR-S08XLT,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
EVGA 100-OD-S101-BR,0.0,0.0,0.0,0.0,Unknown,8/8/6/8/6/6/5,24/24
Silverstone SST-SOB02,0.0,0.0,0.0,24.0,6/6/6/6,8/8/8/8/8/8/4,24/24
OcUK iHAS124-14,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/5,48/24
OcUK OcUKSATADVDRW,0.0,0.0,16.0,40.0,Unknown,16/12/12/16/12/12/-,48/40
LG CU20N,0.0,6.0,8.0,24.0,Unknown,8/8/6/8/6/6/5,24/16
LG GUB0N,0.0,0.0,8.0,24.0,Unknown,8/6/6/8/6/6/5,24/24
Lenovo 41N5618,0.0,0.0,16.0,40.0,Unknown,Unknown,Unknown
LG GTB0N,39.0,0.0,8.0,24.0,Unknown,8/6/6/8/6/6/5,24/24
Asus BC-06B1ST,0.0,6.0,16.0,48.0,6/4/6/4,16/8/8/16/8/8/-,48/32
Teac BD-W512GSA,0.0,0.0,0.0,0.0,12/8/2/2,16/8/8/16/6/8/-,48/24
LG GH10N,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown
Samsung SH-224FB/RSBS,0.0,0.0,16.0,48.0,Unknown,24/8/8/24/6/8/5,48/24
