name,price,capacity,price_per_gb,type,cache,form_factor,interface
TEAMGROUP MS30,108.99,2000.0,0.054,SSD,0.0,M.2-2280,M.2 SATA
Kingston KC3000,377.99,4096.0,0.092,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial BX500,37.99,480.0,0.079,SSD,0.0,2.5,SATA 6.0 Gb/s
Mushkin Tempest,68.98,1000.0,0.069,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Kingston A2000,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate FireCuda 530,219.95,2000.0,0.11,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Inland TN470,81.99,1000.0,0.082,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP Cardea A440,79.98,1000.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Gigabyte Gen3 2500E,91.55,1000.0,0.092,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen5 12000,269.99,2000.0,0.135,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Green SN350,28.99,240.0,0.121,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 960 Evo,87.06,250.0,0.348,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP600 PRO LPX,99.99,1000.0,0.1,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
SanDisk SSD PLUS,29.99,240.0,0.125,SSD,0.0,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,179.99,8000.0,0.022,7200,128.0,3.5,SATA 6.0 Gb/s
TEAMGROUP QX,197.99,4000.0,0.049,SSD,0.0,2.5,SATA 6.0 Gb/s
Sabrent Rocket 5,189.99,1000.0,0.19,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
MSI SPATIUM M480 PRO,285.0,4000.0,0.071,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,84.35,3000.0,0.028,7200,64.0,3.5,SATA 6.0 Gb/s
Patriot Viper VP4300 Lite,0.0,1000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Desktop HDD,0.0,4000.0,0.0,5900,64.0,3.5,SATA 6.0 Gb/s
Western Digital Green,51.55,240.0,0.215,SSD,0.0,2.5,SATA 6.0 Gb/s
Patriot P210,97.99,2000.0,0.049,SSD,0.0,2.5,SATA 6.0 Gb/s
Corsair MP600 PRO NH,159.99,2000.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Leven JS600,29.99,512.0,0.059,SSD,0.0,2.5,SATA 6.0 Gb/s
Patriot P300,0.0,2000.0,0.0,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 860 Evo,255.0,2000.0,0.128,SSD,2048.0,2.5,SATA 6.0 Gb/s
Verbatim Vi5000,78.5,1000.0,0.079,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850,112.99,1000.0,0.113,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP AX2,54.99,1000.0,0.055,SSD,0.0,2.5,SATA 6.0 Gb/s
Lexar NM710,34.99,500.0,0.07,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 ELITE,159.99,2000.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Intel 670p,149.0,2000.0,0.074,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 970 Pro,199.99,512.0,0.391,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro NAS,229.99,12000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Seagate FireCuda,125.0,2000.0,0.062,Unknown,0.0,2.5,SATA 6.0 Gb/s
Kingston NV1,48.99,500.0,0.098,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,897.99,8000.0,0.112,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705 W/Heatsink,314.99,2000.0,0.157,SSD,0.0,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 ELITE,89.99,1000.0,0.09,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Plus,99.99,4000.0,0.025,5400,256.0,3.5,SATA 6.0 Gb/s
ADATA XPG SX8200 Pro,57.16,512.0,0.112,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44,849.99,8000.0,0.106,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Red Pro,372.95,20000.0,0.019,7200,512.0,3.5,SATA 6.0 Gb/s
Seagate IronWolf Pro,240.0,14000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
MSI SPATIUM M461,267.7,4000.0,0.067,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN750,74.98,500.0,0.15,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte AORUS Gen4 7000s,92.43,1000.0,0.092,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power XS70,149.99,2000.0,0.075,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
ADATA XPG SPECTRIX S40G RGB,82.22,1000.0,0.082,SSD,0.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500 W/Heatsink,160.99,2000.0,0.08,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,129.99,250.0,0.52,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850,84.0,500.0,0.168,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,22.99,500.0,0.046,7200,16.0,3.5,SATA 6.0 Gb/s
TEAMGROUP EX2,106.99,2000.0,0.053,SSD,0.0,2.5,SATA 6.0 Gb/s
Crucial T500,72.99,500.0,0.146,SSD,0.0,M.2-2280,M.2 PCIe 4.0 X4
