name,price,rpm,noise_level,color,size
Corsair iCUE H150i ELITE CAPELLIX,286.95,2400.0,"10,37",Black,360.0
Cooler Master MasterLiquid 240L Core ARGB,79.99,3501750.0,27.2,Black,240.0
Asus ROG Ryujin III,342.96,6002200.0,36.45,White,360.0
Scythe Fuma 3,49.99,2001500.0,"4,28.6",Black / Silver,0.0
ID-COOLING FROSTFLOW X,54.99,7001800.0,"18,35.2",Unknown,240.0
NZXT Kraken Z73 RGB,369.99,5001500.0,"22,33",White / Black,360.0
Thermalright Frozen Edge,43.9,2150.0,28.1,Black,240.0
ARCTIC Liquid Freezer III A-RGB,105.9,2002000.0,Unknown,Black,240.0
Deepcool LE720,160.99,5002250.0,32.9,Black,360.0
Cooler Master Hyper 212 EVO,80.26,6002000.0,"9,36",Unknown,0.0
Corsair iCUE H170i ELITE LCD XT,299.99,5001700.0,"5,33.8",Black,420.0
Corsair iCUE H60x RGB ELITE,79.99,1500.0,"7,28",Black,120.0
Deepcool GAMMAXX AG400 ARGB,29.99,5002000.0,31.6,White,0.0
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,0.0,6002200.0,36.45,Red / Black,360.0
EK EK-Nucleus AIO CR360 Lux D-RGB,167.95,5502300.0,36,Black,360.0
NZXT Kraken X53,212.43,5002000.0,"21,36",Black,240.0
Noctua NH-L9i-17xx,44.95,6002500.0,"14.8,23.6",Brown / Beige,0.0
Deepcool AK620 DIGITAL WH,80.98,5001850.0,28,White,0.0
MSI MAG CORELIQUID 240R V2,87.43,5002000.0,"14.3,34.3",Black,240.0
Thermalright Assassin X 120 PLUS V2,21.79,1500.0,25.6,Black / Silver,0.0
be quiet! Pure Rock 2 FX,47.9,0.0,"7.9,24.4",Black,0.0
be quiet! Pure Loop 2 FX,129.9,0.0,"8,34",Black,360.0
HYTE THICC Q60,299.99,0.0,"10,47.3",White / Black,280.0
Thermalright Aqua Elite V3,56.9,1500.0,25.6,Black,360.0
Deepcool AG400,21.99,5002000.0,31.6,Black / Silver,0.0
ARCTIC Liquid Freezer III A-RGB,149.99,2001900.0,Unknown,Black,420.0
Thermalright Frozen Prism ARGB,60.59,1850.0,27,Black,360.0
Vetroo V5,27.99,8001700.0,30.8,Black,0.0
Noctua NH-U12S redux,54.95,4501700.0,25.1,Gray / Silver,0.0
Deepcool LS520 SE WH,77.98,5002250.0,"28.2,32.9",White,240.0
Cooler Master Hyper 212 Halo,34.4,6502050.0,27,Black,0.0
NZXT Kraken Elite 280,169.99,5001500.0,"19.4,32.1",Black,280.0
Thermaltake UX100,11.99,1800.0,26.92,Black,0.0
Noctua NH-L9i,44.95,6002500.0,"14.8,23.6",Brown,0.0
Asus ProArt LC 420,269.99,8002000.0,31.5,Black,420.0
Cooler Master MasterLiquid 360L Core ARGB,89.99,3501750.0,27.2,White,360.0
