name,price,socket,form_factor,max_memory,memory_slots,color
Asus P6TD Deluxe,0.0,LGA1366,ATX,24,6,Black / Orange
ECS H61H2-M2(1.0),0.0,LGA1155,Micro ATX,16,2,Black / Gray
Asus Sabertooth 990FX,0.0,AM3+,ATX,32,4,Brown / Black
Gigabyte GA-Z68XP-UD3,0.0,LGA1155,ATX,32,4,Blue / White
Intel DH61WWB3,0.0,LGA1155,Micro ATX,8,2,Green / Blue
Biostar H61MGC,0.0,LGA1155,Micro ATX,16,2,Black / Red
Asus P9X79 DELUXE,0.0,LGA2011,ATX,64,8,Black / Blue
Asus Rampage IV Extreme,0.0,LGA2011,EATX,64,8,Black / Red
Intel DH61ZE,0.0,LGA1155,Micro ATX,16,2,Green / Blue
Asus Z9PA-D8,0.0,2 x LGA2011,ATX,64,8,Green / Blue
Asus B85-PLUS,0.0,LGA1150,ATX,32,4,Black / Gold
ASRock 970 Extreme3 R2.0,0.0,AM3+,ATX,64,4,Brown / Black
Gigabyte GA-H97-D3H,0.0,LGA1150,ATX,32,4,Black / Gold
MSI H97 GAMING 3,0.0,LGA1150,ATX,32,4,Black / Red
Asus X99-DELUXE/U3.1,0.0,LGA2011-3,ATX,64,8,Black / White
Gigabyte GA-X99-Gaming 5P,0.0,LGA2011-3,EATX,128,8,Black / Red
Asus SABERTOOTH Z170 MARK 1,0.0,LGA1151,ATX,64,4,Black
EVGA Z170 Stinger,0.0,LGA1151,Mini ITX,32,2,Black
ASRock B150M Pro4,0.0,LGA1151,Micro ATX,64,4,Black / Orange
Gigabyte G1.Sniper B7,0.0,LGA1151,ATX,64,4,Black / Green
Gigabyte GA-990FXA-UD3 Ultra,0.0,AM3+,ATX,64,4,Black / Silver
Gigabyte GA-H110M-S2,0.0,LGA1151,Micro ATX,32,2,Black / White
MSI Z270M MORTAR,0.0,LGA1151,Micro ATX,64,4,Black / Red
MSI B250M MORTAR ARCTIC,0.0,LGA1151,Micro ATX,64,4,White
Gigabyte GA-AX370-Gaming K3,0.0,AM4,ATX,64,4,Black / Red
MSI X299M GAMING PRO CARBON AC,0.0,LGA2066,Micro ATX,64,4,Black
MSI X370 GAMING PRO CARBON AC,0.0,AM4,ATX,64,4,Black
Gigabyte Z370 AORUS ULTRA GAMING 2.0,0.0,LGA1151,ATX,64,4,Black / Silver
ECS A320AM4-M3D,0.0,AM4,Micro ATX,32,2,Black
MSI MEG Z490 GODLIKE,0.0,LGA1200,EATX,128,4,Black / Silver
ASRock Z590 Extreme,0.0,LGA1200,ATX,128,4,Black / Blue
Gigabyte B660M D2H DDR4,0.0,LGA1700,Micro ATX,64,2,Black
Gigabyte H470M H,0.0,LGA1200,Micro ATX,64,2,Black
Biostar B550M-SILVER,0.0,AM4,Micro ATX,128,4,Black / Silver
Biostar B560MX-E PRO,0.0,LGA1200,Micro ATX,128,4,Brown / Silver
Gigabyte B760M GAMING X,0.0,LGA1700,Micro ATX,192,4,Brown / Black
ASRock H310CM-HG4,0.0,LGA1151,Micro ATX,32,2,Black / Silver
Asus PRIME H610M-K D4-ARGB,0.0,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte Z790 S DDR4 (rev. 1.0),0.0,LGA1700,ATX,128,4,Black
ASRock C70M1,0.0,Integrated C-Series C-70,Mini ITX,16,2,Black / Blue
MSI H310M PRO-M2,0.0,LGA1151,Micro ATX,32,2,Brown / Black
Asus PRIME B760M-K D4-CSM,0.0,LGA1700,Micro ATX,64,2,Silver / Black
Colorful CVN Z790 GAMING FROZEN V20,0.0,LGA1700,ATX,128,4,Silver / Black
Asus M4A88T-I Deluxe,0.0,AM3,Mini ITX,8,2,Black / Blue
Gigabyte GA-P61-USB3-B3,0.0,LGA1155,ATX,16,2,Blue / White
Asus P8Z68-V PRO,0.0,LGA1155,ATX,32,4,Black / Blue
Gigabyte GA-970A-UD3,0.0,AM3+,ATX,32,4,Blue / White
Gigabyte GA-H77M-D3H,0.0,LGA1155,Micro ATX,32,4,Blue / White
MSI Z77A-G43,0.0,LGA1155,ATX,32,4,Black / Blue
Asus P8Q77-M/CSM,0.0,LGA1155,Micro ATX,32,4,Black / Blue
Gigabyte GA-H77N-WIFI,0.0,LGA1155,Mini ITX,16,2,Black / Silver
Biostar TA970,0.0,AM3+,ATX,64,4,Black / Red
Asus Z87-Plus,0.0,LGA1150,ATX,32,4,Black / Gold
MSI Z87-G41 PC Mate,0.0,LGA1150,ATX,32,4,Black / Blue
Gigabyte GA-H81M-HD3,0.0,LGA1150,Micro ATX,16,2,Unknown
ASRock 990FX Killer,0.0,AM3+,ATX,64,4,Black / Red
Asus MAXIMUS VII GENE,0.0,LGA1150,Micro ATX,32,4,Black / Red
MSI Z97M Gaming,0.0,LGA1150,Micro ATX,32,4,Black / Red
Asus SABERTOOTH Z97 MARK S,0.0,LGA1150,ATX,32,4,White / Gray
Gigabyte GA-Z97-HD3P,0.0,LGA1150,ATX,32,4,Black / Gray
ASRock Fatal1ty X99M Killer/3.1,0.0,LGA2011-3,Micro ATX,64,4,Black / Red
Asus H170M-E D3,0.0,LGA1151,Micro ATX,64,4,Black / Gold
Gigabyte GA-H170-HD3,0.0,LGA1151,ATX,64,4,Black / Gold
ASRock H110M-HDS,0.0,LGA1151,Micro ATX,32,2,Black / Orange
Gigabyte GA-B150N-GSM,0.0,LGA1151,Mini ITX,32,2,Black
Gigabyte GA-B250-HD3P,0.0,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-H110M-S2V,0.0,LGA1151,Micro ATX,32,2,Black
Biostar B350GTN,0.0,AM4,Mini ITX,32,2,Black
Gigabyte GA-970A-DS3P FX (rev. 2.1),0.0,AM3+/AM3,ATX,32,4,Black / Gray
MSI Z370 KRAIT GAMING,0.0,LGA1151,ATX,64,4,Black / White
EVGA Z370 FTW,0.0,LGA1151,ATX,64,4,Black
ASRock H110M-HDV R3.0,0.0,LGA1151,Micro ATX,32,2,Black / Orange
Gigabyte B360N WIFI,0.0,LGA1151,Mini ITX,32,2,Black
Asus TUF H310-Plus Gaming,0.0,LGA1151,ATX,32,2,Orange / Black
MSI MEG X399 CREATION,0.0,sTR4,EATX,128,8,Black / Silver
ASRock Z390 Taichi Ultimate,0.0,LGA1151,ATX,128,4,Black / Silver
Asus ROG MAXIMUS XI EXTREME,0.0,LGA1151,EATX,128,4,Black
Gigabyte Z490 VISION D,0.0,LGA1200,ATX,128,4,Black / Silver
Asus ROG STRIX H470-I GAMING,0.0,LGA1200,Mini ITX,64,2,Black
ASRock H470M-HDV,0.0,LGA1200,Micro ATX,64,2,Black / Silver
ASRock B760M Pro-A D4,0.0,LGA1700,Micro ATX,128,4,White / Black
Supermicro MBD-X11SAE-F-O,495.15,LGA1151,ATX,64,4,Black / Green
Supermicro A1SRI-2758F-O,489.0,Integrated Atom C2358,Mini ITX,64,4,Black / Green
Biostar B550GTQ,0.0,AM4,Micro ATX,128,4,Black
Gigabyte Z590 AORUS TACHYON,495.15,LGA1200,EATX,64,2,Black
Gigabyte GA-MA785GM-US2H,0.0,AM3/AM2+/AM2,Micro ATX,16,4,Multicolor
Intel DH67CL,0.0,LGA1155,ATX,32,4,Black / Blue
ASRock G41M-S3,0.0,LGA775,Micro ATX,8,2,Blue / White
Gigabyte GA-Z68X-UD3H-B3,0.0,LGA1155,ATX,32,4,Black / Silver
ASRock 970 Extreme4,0.0,AM3+,ATX,32,4,Black / Blue
MSI Z77A-G45,0.0,LGA1155,ATX,32,4,Black / Blue
Asus P8B75-V,0.0,LGA1155,ATX,32,4,Black / Blue
ASRock B75 Pro3-M,0.0,LGA1155,Micro ATX,32,4,Brown / Black
ASRock Z77 Extreme3,0.0,LGA1155,ATX,32,4,Brown / Black
Asus H87M-Plus/CSM,0.0,LGA1150,Micro ATX,32,4,Black / Gold
Asus GRYPHON Z87,0.0,LGA1150,Micro ATX,32,4,Brown / Black
MSI Z87-G43,0.0,LGA1150,ATX,32,4,Black / Blue
Intel DH87MC,0.0,LGA1150,ATX,32,4,Black / Blue
MSI CSM-B75MA-P45,0.0,LGA1155,Micro ATX,32,4,Black / Blue
Gigabyte GA-B85M-DS3H,0.0,LGA1150,Micro ATX,32,4,Black / Gray
Asus SABERTOOTH Z97 MARK 1,0.0,LGA1150,ATX,32,4,Brown / Black
MSI Z97-GD65 Gaming,0.0,LGA1150,ATX,32,4,Black / Red
ASRock H97 Anniversary,0.0,LGA1150,ATX,32,4,Black / Blue
Asus X99-E WS,0.0,LGA2011-3,SSI CEB,128,8,Black / Silver
ASRock FM2A68M-HD+,0.0,FM2+,Micro ATX,32,2,Brown / Black
MSI A88XI AC V2,0.0,FM2+,Mini ITX,16,2,Black / Silver
Gigabyte GA-X99-SLI,0.0,LGA2011-3,ATX,128,8,Black / Gold
Gigabyte GA-Z170X-Gaming G1,0.0,LGA1151,EATX,64,4,Black / Red
MSI Z170A TOMAHAWK,0.0,LGA1151,ATX,64,4,Black / Red
Supermicro MBD-X11SSM-F,0.0,LGA1151,Micro ATX,64,4,Black / Green
Asus B150M-PLUS,0.0,LGA1151,Micro ATX,64,4,Black / Gold
MSI Z170A MPOWER GAMING TITANIUM,0.0,LGA1151,ATX,64,4,Silver / Black
Supermicro X10SDV-4C-TLN2F,0.0,Integrated Xeon D-1521,Mini ITX,64,4,Green
MSI B250M PRO-VH,0.0,LGA1151,Micro ATX,32,2,Brown / Black
Gigabyte GA-Z270X-Gaming 5,0.0,LGA1151,ATX,64,4,Black / White
MSI B250I PRO,0.0,LGA1151,Mini ITX,32,2,Black
Gigabyte GA-Z270X-DESIGNARE,0.0,LGA1151,ATX,64,4,Silver
ASRock X299 Taichi,0.0,LGA2066,ATX,128,8,Black / Silver
Asus Prime H370-Plus,0.0,LGA1151,ATX,64,4,Silver / Black
Biostar X470GTN,0.0,AM4,Mini ITX,32,2,Black
ASRock X370M-HDV,0.0,AM4,Micro ATX,32,2,Black / Silver
Asus ROG MAXIMUS XII APEX,0.0,LGA1200,ATX,64,2,Black
MSI B560-A PRO,0.0,LGA1200,ATX,128,4,Black
MSI PRO B650M-E,0.0,AM5,Micro ATX,96,2,Black
MSI PRO Z690-P WIFI,0.0,LGA1700,ATX,192,4,Black
Supermicro MBD-X11SSH-LN4F,394.66,LGA1151,Micro ATX,64,4,Green / Black
ASRock H470M Pro4,0.0,LGA1200,Micro ATX,128,4,Black / Silver
Gigabyte B550M H,0.0,AM4,Micro ATX,64,2,Black / Silver
ASRock Z490M Pro4,0.0,LGA1200,Micro ATX,128,4,Black / Silver
Asus Pro WS C246-ACE,0.0,LGA1151,ATX,128,4,Black
Asus P6X58D-E,0.0,LGA1366,ATX,24,6,Black / Blue
Gigabyte GA-G41MT-D3,0.0,LGA775,Micro ATX,8,2,Blue / White
Asus Maximus IV Extreme-Z,0.0,LGA1155,EATX,32,4,Black / Red
ASRock Z68 Extreme3 Gen3,0.0,LGA1155,ATX,32,4,Black
Intel DX79SI,0.0,LGA2011,ATX,64,8,Black / Blue
Intel DH77EB,0.0,LGA1155,Micro ATX,32,4,Black / Blue
MSI H61M-P31 (G3),0.0,LGA1155,Micro ATX,16,2,Black / Blue
MSI Z77A-G41,0.0,LGA1155,ATX,32,4,Black / Blue
MSI H87-G43,0.0,LGA1150,ATX,32,4,Black / Blue
ASRock H81M,0.0,LGA1150,Micro ATX,16,2,Black
ASRock H81M-DGS,0.0,LGA1150,Micro ATX,16,2,Black
EVGA Classified,0.0,LGA1150,EATX,32,4,Black / Red
Gigabyte GA-Z170M-D3H,0.0,LGA1151,Micro ATX,64,4,Black / Gold
Asus MAXIMUS VIII IMPACT,0.0,LGA1151,Mini ITX,32,2,Black / Red
Gigabyte GA-B150N Phoenix-WIFI,0.0,LGA1151,Mini ITX,32,2,Black / Orange
Gigabyte GA-Z170-Gaming K3-EU,0.0,LGA1151,ATX,64,4,Black / Red
Gigabyte GA-X99-Phoenix SLI,0.0,LGA2011-3,ATX,128,8,Orange / White
Supermicro X9DRL-3F,0.0,2 x LGA2011,ATX,64,8,Green / Blue
Biostar H110MH PRO D4,0.0,LGA1151,Micro ATX,32,2,Black / Yellow
MSI B350 KRAIT GAMING,0.0,AM4,ATX,64,4,Black / White
MSI X299 SLI PLUS,0.0,LGA2066,ATX,128,8,Blue / Silver
MSI B360M PRO-VH,0.0,LGA1151,Micro ATX,32,2,Brown / Black
Gigabyte H370 AORUS GAMING 3,0.0,LGA1151,ATX,64,4,Black / Orange
MSI H310M GAMING ARCTIC,0.0,LGA1151,Micro ATX,32,2,White
Gigabyte GA-AX370M-Gaming 3,0.0,AM4,Micro ATX,64,4,Beige / Red
Asus PRIME H310M-C/CSM,0.0,LGA1151,Micro ATX,32,2,Green / Black
Gigabyte X470 AORUS GAMING 7 WIFI-50,0.0,AM4,ATX,64,4,Black / Silver
Asus ROG STRIX B365-G GAMING,0.0,LGA1151,Micro ATX,64,4,Black / Red
ASRock H570 Steel Legend,0.0,LGA1200,ATX,128,4,Silver / Black
ASRock B660M PG Riptide,0.0,LGA1700,Micro ATX,128,4,Black / Blue
MSI PRO H410M-B,0.0,LGA1200,Micro ATX,64,2,Black / Silver
ASRock Z690-C/D5,0.0,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A620M-A,0.0,AM5,Micro ATX,192,4,Silver / Black
Gigabyte B650E AORUS TACHYON,0.0,AM5,ATX,96,2,Silver / Black
Gigabyte H410M S2 V2,0.0,LGA1200,Micro ATX,64,2,Gray / Black
Biostar B760NH-E,0.0,LGA1700,Mini ITX,96,2,Silver / Black
MSI Z270 XPOWER GAMING TITANIUM,0.0,LGA1151,ATX,64,4,Silver / Black
ASRock X470 Master SLI,583.33,AM4,ATX,64,4,Black
ASRock H570M Pro4,0.0,LGA1200,Micro ATX,128,4,Silver / Black
ASRock Z590 Taichi,0.0,LGA1200,ATX,128,4,Black / Silver
Asus M4A79XTD EVO,0.0,AM3,ATX,16,4,Black / Blue
Intel DG41AN,0.0,LGA775,Mini ITX,4,2,Green / Blue
MSI X58 Pro-E,0.0,LGA1366,ATX,24,6,Black / Blue
MSI H55M-P33,0.0,LGA1156,Micro ATX,16,4,Black / Blue
Gigabyte GA-G41MT-S2P,0.0,LGA775,Micro ATX,8,2,Blue / White
Asus F1A55-M LX PLUS,0.0,FM1,Micro ATX,32,2,Black / Blue
ASRock B75M,0.0,LGA1155,Micro ATX,16,2,Brown / Black
Asus F1A75-M PRO R2.0,0.0,FM1,Micro ATX,64,4,Black / Blue
ASRock B85M-ITX,0.0,LGA1150,Mini ITX,16,2,Unknown
Gigabyte GA-Q87M-D2H,0.0,LGA1150,Micro ATX,32,4,Black / Gray
Asus Maximus VI Formula,0.0,LGA1150,ATX,32,4,Black / Red
Asus A88X-PRO,0.0,FM2+,ATX,64,4,Black / Gold
ASRock X99 WS-E,0.0,LGA2011-3,EATX,128,8,Black / Blue
ASRock EP2C612D16SM,0.0,2 x LGA2011-3 Narrow,SSI EEB,1024,16,Green / Blue
ASRock Z97X Killer/3.1,0.0,LGA1150,ATX,32,4,Black / Red
Asus H110M-C D3,0.0,LGA1151,Micro ATX,32,2,Black / Gold
ASRock EP2C612 WS,0.0,2 x LGA2011-3,SSI EEB,256,8,Black / Blue
Gigabyte GA-X150M-PRO ECC,0.0,LGA1151,Micro ATX,64,4,Brown / Black
MSI Z170A SLI,0.0,LGA1151,ATX,64,4,Black / Gray
Gigabyte GA-B150-HD3P,0.0,LGA1151,ATX,64,4,Black / Yellow
MSI 970A GAMING PRO CARBON,0.0,AM3+/AM3,ATX,32,4,Black / Silver
ASRock Fatal1ty Z270 Gaming-ITX/ac,0.0,LGA1151,Mini ITX,32,2,Black / Red
ASRock Z170 Pro4/D3,0.0,LGA1151,ATX,64,4,Black / Orange
Asus MAXIMUS IX APEX,0.0,LGA1151,EATX,32,2,Black / Silver
MSI Z270 GAMING PRO,0.0,LGA1151,ATX,64,4,Black / Red
ASRock X370 GAMING X,0.0,AM4,ATX,64,4,Black / Red
Asus ROG STRIX X299-XE GAMING,0.0,LGA2066,ATX,128,8,Black / Silver
Gigabyte B360N AORUS GAMING WIFI,0.0,LGA1151,Mini ITX,32,2,Black / Orange
MSI H310-A PRO,0.0,LGA1151,ATX,32,2,Brown / Black
Asus Prime H370-A/CSM,0.0,LGA1151,ATX,64,4,Black / Silver
Biostar H61MLV,0.0,LGA1155,Micro ATX,16,2,Black / Red
Gigabyte X299X AORUS MASTER,0.0,LGA2066,EATX,256,8,Black / Orange
Gigabyte H470M DS3H,0.0,LGA1200,Micro ATX,128,4,Black / Silver
MSI H410M PRO-VH,0.0,LGA1200,Micro ATX,64,2,Black / Silver
Asus PRIME H570M-PLUS,0.0,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte B660M D3H DDR4,0.0,LGA1700,Micro ATX,128,4,Black
Gigabyte Z690 AORUS ELITE AX DDR4 V2,0.0,LGA1700,ATX,128,4,Black / Silver
Asus PRIME H510M-E R2.0,0.0,LGA1200,Micro ATX,64,2,Silver / Black
MSI PRO B760-VC,0.0,LGA1700,ATX,192,4,Black
Gigabyte Z590M,0.0,LGA1200,Micro ATX,128,4,Black / Brown
MSI MAG H670 TOMAHAWK WIFI DDR4,0.0,LGA1700,ATX,128,4,Black / Silver
ASRock E3V5 WS,0.0,LGA1151,ATX,64,4,Black / White
ASRock Z270 Killer SLI,333.78,LGA1151,ATX,64,4,Black / White
Gigabyte GA-Z270N-Gaming 5,0.0,LGA1151,Mini ITX,32,2,Black / Orange
Gigabyte Z390 AORUS XTREME,0.0,LGA1151,EATX,128,4,Black / Silver
Supermicro X9SRH-7TF,794.99,LGA2011,ATX,64,8,Green / Blue
Asus Pro B460M-C/CSM,0.0,LGA1200,Micro ATX,128,4,Green / Black
Asus M4A88TD-V EVO/USB3,0.0,AM3,ATX,16,4,Black / Blue
Intel DG41WV,0.0,LGA775,Micro ATX,4,2,Yellow / Black
MSI X58M,0.0,LGA1366,Micro ATX,24,6,Black / Blue
Asus M4A78LT-M,0.0,AM3,Micro ATX,16,4,Black / Blue
Gigabyte GA-H67MA-USB3-B3,0.0,LGA1155,Micro ATX,32,4,Blue / White
Asus Rampage III Black Edition,0.0,LGA1366,EATX,48,6,Black / Gray
Foxconn H61MXV,0.0,LGA1155,Micro ATX,8,2,Blue / White
ASRock Z77 Pro3,0.0,LGA1155,ATX,32,4,Brown / Black
ASRock Z77 Pro4,0.0,LGA1155,ATX,32,4,Brown / Black
MSI H61M-P20 (G3),0.0,LGA1155,Micro ATX,16,2,Black / Blue
Intel DX79SR,0.0,LGA2011,ATX,64,8,Black / Blue
Asus P9X79-E WS,0.0,LGA2011,SSI CEB,64,8,Black / Blue
Asus Maximus VI Gene,0.0,LGA1150,Micro ATX,32,4,Unknown
Gigabyte GA-Z87X-UD4H,0.0,LGA1150,ATX,32,4,Black / Red
ASRock Fatal1ty Z87 Killer,0.0,LGA1150,ATX,32,4,Unknown
Biostar H61MGV Ver. 7.x,0.0,LGA1155,Micro ATX,16,2,Black / Red
MSI A88X-G45 GAMING,0.0,FM2+,ATX,64,4,Black / Red
Asus SABERTOOTH Z97 MARK2,0.0,LGA1150,ATX,32,4,Brown / Black
MSI H97M-G43,0.0,LGA1150,Micro ATX,32,4,Black / Blue
ASRock X99 Extreme3,0.0,LGA2011-3,ATX,64,4,Black / Blue
Gigabyte GA-X99-UD3,0.0,LGA2011-3,ATX,32,4,Black / Gold
MSI A68HM-E33,0.0,FM2+,Micro ATX,32,2,Black
Asus M2N,0.0,AM2,ATX,8,4,Yellow
Gigabyte G1.Sniper Z170,0.0,LGA1151,ATX,64,4,Black / Green
MSI B150M Pro-VD,0.0,LGA1151,Micro ATX,32,2,Black / Silver
Supermicro X10SRM-F,0.0,LGA2011-3 Narrow,Micro ATX,512,4,Black / Green
Supermicro X10SDV-7TP4F,0.0,Integrated Xeon D-1537,Flex ATX,64,4,Green
ASRock Fatal1ty Z170 Gaming K6,0.0,LGA1151,ATX,64,4,Black / Red
MSI X99A TOMAHAWK,0.0,LGA2011-3,ATX,128,8,Black / Silver
Supermicro X10SLH-F,0.0,LGA1150,Micro ATX,32,4,Green
ASRock Fatal1ty H270 Performance,0.0,LGA1151,ATX,64,4,Black / Red
Asus PRIME X370-A,0.0,AM4,ATX,64,4,Black / Red
MSI X370 GAMING M7 ACK,0.0,AM4,ATX,64,4,Black / Silver
MSI H370 GAMING PRO CARBON,0.0,LGA1151,ATX,64,4,Black
MSI H310M PRO-D,0.0,LGA1151,Micro ATX,32,2,Brown / Black
EVGA X299 MICRO ATX 2,0.0,LGA2066,Micro ATX,64,4,Black / Silver
Asus Prime H310M-C R2.0/CSM,0.0,LGA1151,Micro ATX,32,2,Green
Asus Prime X299 Edition 30,0.0,LGA2066,ATX,256,8,Black / White
Biostar H410MH,0.0,LGA1200,Micro ATX,64,2,Black
Gigabyte H510M-S2H-V2-rev-13,0.0,LGA1200,Micro ATX,64,4,Black
MSI PRO B760-P DDR4,0.0,LGA1700,ATX,128,4,Black / Silver
Asus PRIME H610I-PLUS-CSM,0.0,LGA1700,Mini ITX,96,2,Black / Silver
MSI PRO A620M-C EX,0.0,AM5,Micro ATX,96,2,Black
Supermicro C9Z390-CG-IW,590.5,LGA1151,Mini ITX,64,2,Black
MSI H170A PC Mate,0.0,LGA1151,ATX,64,4,Black / Silver
EVGA Z490 DARK K|NGP|N,0.0,LGA1200,EATX,64,2,Black / Yellow
Biostar B760A-SILVER,0.0,LGA1700,ATX,192,4,Silver / Black
Asus P7P55D-E,0.0,LGA1156,ATX,16,4,Black / Blue
EVGA 132-BL-E758-A1,0.0,LGA1366,ATX,24,6,Black / Gray
ASRock N68-S UCC,0.0,AM3/AM2+/AM2,Micro ATX,8,2,Black / Blue
Asus Rampage III Formula,0.0,LGA1366,ATX,24,6,Black / Red
Gigabyte GA-P67A-D3-B3,0.0,LGA1155,ATX,32,4,Blue / White
Intel DQ67OWB3,0.0,LGA1155,Micro ATX,32,4,Green / Blue
Asus Rampage IV Formula,0.0,LGA2011,ATX,32,4,Black / Red
Gigabyte GA-Z77M-D3H,0.0,LGA1155,Micro ATX,32,4,Blue / White
ASRock Z75 Pro3,0.0,LGA1155,ATX,32,4,Brown / Black
ASRock 960GM/U3S3 FX,0.0,AM3+,Micro ATX,16,2,Black / Blue
ASRock X79 Extreme11,0.0,LGA2011,EATX,64,8,Black / Silver
ASRock B75M-DGS,0.0,LGA1155,Micro ATX,16,2,Brown / Black
Gigabyte GA-Z77-HD3,0.0,LGA1155,ATX,32,4,Blue / White
ASRock Z87 Pro3,0.0,LGA1150,ATX,32,4,Brown / Black
Biostar B75MU3B,0.0,LGA1155,Micro ATX,16,2,Black / Red
ASRock H81M-ITX,0.0,LGA1150,Mini ITX,16,2,Brown / Black
Asus Q87T/CSM,0.0,LGA1150,Thin Mini ITX,16,2,Black / Gold
MSI A88XM GAMING,0.0,FM2+,Micro ATX,32,4,Black / Red
ASRock H97 Pro4,0.0,LGA1150,ATX,32,4,Black / Blue
MSI Z97-G43,0.0,LGA1150,ATX,32,4,Black / Blue
Biostar A58ML,0.0,FM2+,Micro ATX,32,2,Black
MSI 990FXA-GAMING,0.0,AM3+/AM3,ATX,32,4,Black / Red
Asus Z170-P D3,0.0,LGA1151,ATX,64,4,Black / Gold
MSI Z170A XPOWER GAMING TITANIUM EDITION,0.0,LGA1151,ATX,64,4,Black / Silver
ASRock Z170M-ITX/ac,0.0,LGA1151,Mini ITX,32,2,Black / Orange
Gigabyte GA-H170-D3HP,0.0,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-H110M-S2PV DDR3 (rev. 1.0),0.0,LGA1151,Micro ATX,32,2,Black
Gigabyte GA-Q170M-MK,0.0,LGA1151,Micro ATX,64,4,Black / Silver
MSI B150M Gaming Pro,0.0,LGA1151,Micro ATX,32,2,Black / Red
Asus X99-E-10G WS,0.0,LGA2011-3,SSI CEB,128,8,Black / Silver
Gigabyte GA-Z270-HD3P,0.0,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-Z270X-UD3,0.0,LGA1151,ATX,64,4,Black / Silver
MSI H270I GAMING PRO AC,0.0,LGA1151,Mini ITX,32,2,Black / Red
Biostar TB350-BTC,0.0,AM4,ATX,32,2,Black / Yellow
Asus ROG MAXIMUS IX EXTREME,0.0,LGA1151,EATX,64,4,Black / Red
ASRock H370 Pro4,0.0,LGA1151,ATX,64,4,Black / Silver
Gigabyte H310 D3,0.0,LGA1151,ATX,32,2,Silver / Black
ASRock Z490 Phantom Gaming 4/ax,0.0,LGA1200,ATX,128,4,Black / Gray
ASRock E3C246D4U2-2L2T,0.0,LGA1151,Micro ATX,128,4,Green
MSI B560M PRO WIFI,0.0,LGA1200,Micro ATX,64,2,Black
Gigabyte Z590M GAMING X,0.0,LGA1200,Micro ATX,128,4,Black / Silver
Biostar H510MH/E 2.0,0.0,LGA1200,Micro ATX,64,2,Black
Gigabyte Z690 UD AC,0.0,LGA1700,ATX,192,4,Black
Biostar B550MXC PRO,0.0,AM4,Micro ATX,128,4,Brown / Black
Gigabyte B760M E,0.0,LGA1700,Micro ATX,96,2,Black / Gray
Asus PRIME B650M-A AX6 II,0.0,AM5,Micro ATX,192,4,Silver / Black
ASRock X570 Creator,0.0,AM4,ATX,128,4,Black / Silver
Intel DH55HC,0.0,LGA1156,ATX,16,4,Blue / White
Asus M4A87TD/USB3,0.0,AM3,ATX,16,4,Black / Blue
Asus Crosshair IV Formula,0.0,AM3,ATX,16,4,Black / Red
Zotac NF610I-K-E,0.0,LGA775,Mini ITX,4,2,Black / Red
ASRock P45X3 Deluxe,0.0,LGA775,ATX,16,4,Black / Blue
Asus P8P67,0.0,LGA1155,ATX,32,4,Black / Blue
Asus P8H67-I DELUXE (REV 3.0),0.0,LGA1155,Mini ITX,16,2,Unknown
ASRock Z68 Extreme4 Gen3,0.0,LGA1155,ATX,32,4,Unknown
Asus P5G41T-M LX PLUS,0.0,LGA775,Micro ATX,8,2,Black / Blue
ASRock X79 Extreme3,0.0,LGA2011,ATX,32,4,Black / Silver
ASRock X79 Extreme6,0.0,LGA2011,ATX,64,8,Black / Silver
ASRock Fatal1ty X79 Professional,0.0,LGA2011,ATX,32,4,Black / Red
MSI Z77A-GD65,0.0,LGA1155,ATX,32,4,Black / Blue
ASRock B75M-ITX,0.0,LGA1155,Mini ITX,16,2,Brown / Black
Asus P8B75-M LE,0.0,LGA1155,Micro ATX,16,2,Black / Blue
MSI B75A-G43,0.0,LGA1155,ATX,32,4,Black / Blue
MSI H61M-E33/W8,0.0,LGA1155,Micro ATX,16,2,Black / Blue
Asus Sabertooth 990FX/GEN3 R2.0,0.0,AM3+,ATX,32,4,Unknown
Gigabyte G1.SNIPER 5,0.0,LGA1150,EATX,32,4,Black / Green
Asus Z87-C,0.0,LGA1150,ATX,32,4,Unknown
Intel DZ87KLT75K,0.0,LGA1150,ATX,32,4,Black / Blue
Asus Maximus VI Extreme,0.0,LGA1150,ATX,32,4,Black / Red
Gigabyte GA-Z87X-D3H,0.0,LGA1150,ATX,32,4,Black / Gray
Asus H87I-PLUS,0.0,LGA1150,Mini ITX,16,2,Black / Gold
ASRock H81M-DGS R2.0,0.0,LGA1150,Micro ATX,16,2,Brown / Black
Gigabyte GA-H81N,0.0,LGA1150,Mini ITX,16,2,Black / Silver
Asus VANGUARD B85,0.0,LGA1150,Micro ATX,32,4,Brown
Gigabyte GA-Z97M-D3H,0.0,LGA1150,Micro ATX,32,4,Black / Gold
Gigabyte GA-H97M-HD3,0.0,LGA1150,Micro ATX,16,2,Black / Silver
ASRock Z97M-ITX/AC,0.0,LGA1150,Mini ITX,16,2,Black / Blue
EVGA Micro,0.0,LGA2011-3,Micro ATX,64,4,Black
Asus X99-PRO,0.0,LGA2011-3,ATX,64,8,Black / White
