name,price,socket,form_factor,max_memory,memory_slots,color
Gigabyte A520M K V2,78.04,AM4,Micro ATX,64,2,Brown / Black
Asus ROG STRIX B550-F GAMING,158.99,AM4,ATX,128,4,Black
ASRock B550 Phantom Gaming 4/ac,89.99,AM4,ATX,128,4,Silver / Black
MSI PRO B760M-A WIFI DDR4,149.99,LGA1700,Micro ATX,128,4,Black
Asus TUF GAMING B760M-PLUS WIFI II,194.99,LGA1700,Micro ATX,192,4,Black / Orange
NZXT N7 Z790,0.0,LGA1700,ATX,192,4,White / Black
Gigabyte B760I AORUS PRO,199.99,LGA1700,Mini ITX,96,2,Silver / Black
ASRock B650M PG RIPTIDE WIFI,169.99,AM5,Micro ATX,192,4,Black
Asus TUF GAMING B650M-PLUS WIFI,189.99,AM5,Micro ATX,192,4,Black
Asus ROG STRIX X670E-F GAMING WIFI,349.99,AM5,ATX,192,4,Black / Silver
Asus ProArt Z790-CREATOR WIFI,439.99,LGA1700,ATX,192,4,Black / Copper
Asus PRIME B650-PLUS,164.99,AM5,ATX,192,4,Black / Silver
MSI A520M-A PRO,69.99,AM4,Micro ATX,64,2,Black
NZXT N7 Z790,296.99,LGA1700,ATX,192,4,Black
ASRock B550M-HDV,74.98,AM4,Micro ATX,64,2,Black
ASRock B550M PG RIPTIDE,102.98,AM4,Micro ATX,128,4,Unknown
Asus ROG STRIX X670E-I GAMING WIFI,424.99,AM5,Mini ITX,96,2,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI,209.99,LGA1700,ATX,192,4,Silver / Black
Gigabyte X670 GAMING X AX V2,209.99,AM5,ATX,192,4,Black / Gray
Gigabyte A520M DS3H V2,89.2,AM4,Micro ATX,128,4,Gray / Brown
Asus ROG STRIX Z790-H GAMING WIFI,249.99,LGA1700,ATX,192,4,Black
MSI Z790 GAMING PLUS WIFI,199.99,LGA1700,ATX,192,4,Black
ASRock Z690 Pro RS,119.99,LGA1700,ATX,128,4,Silver / Black
Asus ROG STRIX Z790-F GAMING WIFI II,409.99,LGA1700,ATX,192,4,Black
MSI MEG X670E GODLIKE,1287.01,AM5,EATX,192,4,Black
Gigabyte TRX40 AORUS PRO WIFI,529.99,sTRX4,ATX,256,8,Black / Orange
Asus TUF GAMING B550M-PLUS WIFI II,202.34,AM4,Micro ATX,128,4,Black / Gray
MSI PRO Z790-S WIFI,169.99,LGA1700,ATX,192,4,Black
Asus ROG STRIX X670E-A GAMING WIFI,334.99,AM5,ATX,192,4,Silver / Black
ASRock H370M-HDV,74.95,LGA1151,Micro ATX,64,2,Black / Silver
ASRock B550 Phantom Gaming-ITX/ax,159.99,AM4,Mini ITX,64,2,Silver / Black
Asus PRIME B660M-A WIFI D4,171.27,LGA1700,Micro ATX,128,4,Silver / Black
MSI MAG B760M MORTAR WIFI II,179.99,LGA1700,Micro ATX,192,4,Silver / Black
Asus ROG STRIX Z790-A GAMING WIFI D4,219.99,LGA1700,ATX,128,4,Black / Silver
MSI MAG B650M MORTAR WIFI,199.95,AM5,Micro ATX,192,4,Black
MSI MPG Z790I EDGE WIFI,297.83,LGA1700,Mini ITX,96,2,Silver / Black
MSI PRO B550-VC,139.99,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS ELITE AX ICE,259.99,LGA1700,ATX,192,4,Silver / White
Asus PRIME B550-PLUS,109.99,AM4,ATX,128,4,Black / White
ASRock B760M Pro RS/D4 WiFi,148.99,LGA1700,Micro ATX,128,4,Silver / Black
ASRock X670E PG Lightning,238.76,AM5,ATX,192,4,Black
Gigabyte A520M S2H,80.48,AM4,Micro ATX,64,2,Black
ASRock B550 Phantom Gaming 4,89.99,AM4,ATX,128,4,Silver / Black
MSI MAG Z790 TOMAHAWK MAX WIFI,269.99,LGA1700,ATX,192,4,Black / Yellow
MSI PRO-H610M-E-DDR4,91.11,LGA1700,Micro ATX,64,2,Black
Gigabyte H510M K V2,84.73,LGA1200,Micro ATX,64,2,Black / Gray
Asus PRIME Z790-A WIFI,249.0,LGA1700,ATX,192,4,Black / Silver
Asus PRIME A320M-K,68.98,AM4,Micro ATX,32,2,Black / White
Asus ROG STRIX B450-F GAMING II,0.0,AM4,ATX,128,4,Black
MSI MPG X670E CARBON WIFI,409.99,AM5,ATX,192,4,Black
MSI B760M GAMING PLUS WIFI,0.0,LGA1700,Micro ATX,192,4,Black / Silver
ASRock B650M PG Lightning Wifi,0.0,AM5,Micro ATX,192,4,Silver / Black
Intel DQ45EK,276.09,LGA775,Mini ITX,4,2,Green / Blue
Asus ROG MAXIMUS Z790 HERO,529.99,LGA1700,ATX,192,4,Black
ASRock B450M Steel Legend,89.99,AM4,Micro ATX,64,4,Black / White
Gigabyte Z790 AORUS ELITE X AX,229.99,LGA1700,ATX,192,4,Black
MSI MPG B650 EDGE WIFI,227.99,AM5,ATX,192,4,Black / Silver
Asus PRIME X670E-PRO WIFI,299.76,AM5,ATX,192,4,Silver / Black
ASRock B650 LiveMixer,138.99,AM5,ATX,192,4,Orange / Black
MSI PRO Z790-P WIFI DDR4,201.19,LGA1700,ATX,128,4,Black / Silver
Asus PRIME B650M-A WIFI II,226.56,AM5,Micro ATX,192,4,Black / Silver
