name,price,configuration,wattage,frequency_response,color
Creative Labs A250,0.0,2.1,9.0,4020.0,Unknown
Creative Labs Sound BlasterX Kratos S3,0.0,2.1,0.0,0.0,Unknown
Mackie MR524,179.99,1.0,50.0,4520.0,Black
Kanto YU2GR,0.0,2.0,50.0,8020.0,Red / Black
Edifier Luna Eclipse E25,0.0,2.0,74.0,3020.0,Black
Altec Lansing VS4621,0.0,2.1,28.0,4518.0,Black
Edifier S2000 PRO,0.0,2.0,124.0,4820.0,Brown / Black
KEF LSXRED,0.0,2.0,200.0,4947.0,Red / Black
Mackie CR3-X,0.0,2.0,50.0,8020.0,White
Vanatoo Transparent Zero Plus,449.99,2.0,96.0,5220.0,Black
Cyber Acoustics Curve Storm,103.71,2.1,22.0,0.0,Unknown
M-Audio BX5 D3,0.0,1.0,100.0,5235.0,Black
Creative Labs Inspire T3130,0.0,2.1,25.0,4020.0,Unknown
Creative Labs A60,0.0,2.0,4.0,9020.0,Unknown
Creative Labs Inspire T6160,0.0,5.1,50.0,4020.0,Unknown
Genius 31730027102,0.0,2.0,30.0,5020.0,Unknown
Logitech Z523,0.0,2.1,40.0,4820.0,Unknown
Logitech Z320,0.0,2.0,10.0,7020.0,Unknown
Audioengine A2 (White),0.0,2.0,30.0,6522.0,Unknown
KRK RP8 G2,0.0,2.0,140.0,4420.0,Unknown
KRK RP6 G2,0.0,2.0,100.0,4820.0,Unknown
Mackie CR4,0.0,2.0,28.0,6020.0,Unknown
Fluance SX6-BK,149.99,2.0,100.0,5020.0,Unknown
Logitech Z-2300,0.0,2.1,200.0,0.0,Unknown
Behringer MS16,109.0,2.0,16.0,8020.0,Unknown
Creative Labs Inspire T3100,0.0,2.1,29.0,4020.0,Unknown
Logitech S-220,0.0,2.1,17.0,8515.0,Black
Fluance Ai60 Lucky Bamboo,0.0,2.0,100.0,3530.0,White / White
Fluance Ai60 White Walnut,0.0,2.0,100.0,3530.0,White / Brown
KEF LSXBL,0.0,2.0,200.0,4947.0,Black
Vanatoo Transparent Zero,0.0,2.0,96.0,5220.0,Black
KRK VXT 6,0.0,2.0,180.0,4922.0,Unknown
Microlab SP-FC20BK,0.0,2.1,40.0,5018.0,Unknown
Microlab SP-FC20WH,0.0,2.1,40.0,5018.0,Unknown
Gigabyte GP-S4600,0.0,2.0,1.0,23020.0,Unknown
Genius SW-G2.1 1250,0.0,2.1,38.0,5820.0,Unknown
Genius SP-S110,0.0,2.0,1.0,20020.0,Unknown
Cyber Acoustics CA3001RB,0.0,2.1,14.0,3818.0,Unknown
Creative Labs GigaWorks T3,0.0,2.1,80.0,3020.0,Unknown
Cyber Acoustics CA-5402,0.0,5.1,40.0,7020.0,Unknown
Logitech LS21,0.0,2.1,7.0,4020.0,Unknown
M-Audio BX8 D2,0.0,2.0,260.0,3022.0,Unknown
Genius SW-G2.1,0.0,2.1,70.0,3520.0,Unknown
M-Audio AV32,0.0,2.0,20.0,8020.0,Unknown
Insignia NS-PCS20,0.0,2.0,0.0,0.0,Unknown
Logitech Z150,0.0,2.0,0.0,0.0,Unknown
Logitech X-230,0.0,2.1,32.0,4020.0,Unknown
HiVi M10,0.0,2.1,0.0,10020.0,Unknown
Microlab FC 330,0.0,2.1,64.0,3520.0,Unknown
Razer Ferox,0.0,2.0,6.0,15020.0,Unknown
