name,price,style,switches,backlit,tenkeyless,connection_type,color
Logitech G915 Lightspeed,0,Gaming,Logitech GL Tactile,RGB,FALSE,"Wireless, Bluetooth Wireless",Black
Corsair K57 RGB,109.99,Gaming,Unknown,RGB,FALSE,Bluetooth Wireless,Black
HP HyperX Alloy Origins,89.99,Gaming,HyperX Red,RGB,FALSE,Wired,Black
Logitech MK235,23.99,Standard,Unknown,Unknown,FALSE,Wireless,Black
Corsair K60 Pro,79.98,Gaming,Corsair OPX,RGB,TRUE,Wired,Black
Razer BlackWidow V3,99.99,Gaming,Razer Green,RGB,FALSE,Wired,Black
HP 150,10.99,Standard,Unknown,Unknown,FALSE,Wired,Black
Corsair K70 RGB TKL CHAMPION SERIES,144.66,Gaming,Cherry MX Speed Silver,RGB,TRUE,Wired,Black
SteelSeries Apex 5,91.99,Gaming,Unknown,RGB,FALSE,Wired,Black
Dell KB216,16,Slim,Unknown,Unknown,FALSE,Wired,Black
Razer Ornata Chroma,124.97,Gaming,Unknown,RGB,FALSE,Wired,Black
Logitech G213,49.99,Gaming,Unknown,RGB,FALSE,Wired,Black
HP 320MK,13,Standard,Unknown,Unknown,FALSE,Wired,Black
Logitech G915 Lightspeed,189.99,Gaming,Logitech GL Clicky,RGB,FALSE,Wireless,Black
Logitech G Pro,129.99,Gaming,Romer-G Tactile,RGB,TRUE,Wired,Black
Kinesis Gaming KB600,339,Ergonomic,Cherry MX Brown,Unknown,TRUE,Wired,Black / Blue
Corsair Vengeance K70,0,Gaming,Cherry MX Red,Red,FALSE,Wired,Black
AOC AGK700,40.99,Gaming,Cherry MX Red,RGB,FALSE,Wired,Black / Red
Logitech MX Keys Advanced,0,Slim,Unknown,White,FALSE,Wireless,Black
Logitech G810 Orion Spectrum RGB,308.98,Gaming,Romer-G Tactile,RGB,FALSE,Wired,Black
Razer Ornata V3,59.99,Gaming,Unknown,RGB,TRUE,Wired,Black
SteelSeries Apex 3,35.5,Gaming,Unknown,RGB,TRUE,Wired,Black
Keychron K10 Pro QMK/VIA,114.99,Standard,Keychron K Pro Brown,RGB,FALSE,"Wired, Bluetooth Wireless",Black / Gray
Logitech G910 Orion Spectrum RGB,285,Gaming,Romer-G Tactile,RGB,FALSE,Wired,Black
Thermaltake Commander Combo V2,33.99,Gaming,Unknown,Multicolor,FALSE,Wired,Black
Asus ROG Strix Scope,99.99,Gaming,ROG NX Red,RGB,TRUE,Wired,White / Gray
Logitech MK120,23.98,Slim,Unknown,Unknown,FALSE,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,TRUE,"Wired, Wireless, Bluetooth Wireless",Black
Glorious GMMK,0,Gaming,Gateron Brown,RGB,TRUE,Wired,Black
Keychron K3 V2 Ultra-slim,99.99,Standard,Keychron Optical Brown Low Profile (Hot-Swappable),RGB,TRUE,"Wired, Wired, Bluetooth Wireless",Black / Gray
Cooler Master CK721,64.98,Gaming,TTC Red,RGB,TRUE,"Wired, Wireless, Bluetooth Wireless",Black / Gray
