name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech M330 SILENT PLUS,14.99,Optical,Wireless,1000.0,Right,Black
Redragon M908 IMPACT MMO,40.48,Optical,Wired,12400.0,Right,Black
AOC GM500,9.94,Optical,Wired,5000.0,Both,Black
Corsair M65 RGB ULTRA WIRELESS,109.99,Optical,Wireless,26000.0,Right,Black / Silver
Corsair M75 AIR,68.88,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,Black
Glorious Model I 2,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Right,White
Corsair Harpoon RGB,19.99,Optical,Wired,6000.0,Right,Black
Logitech M90,25.67,Optical,Wired,1000.0,Both,Black
ROCCAT KONE Pro,18.98,Optical,Wired,19000.0,Right,Black
Razer Viper Ultimate w/Dock,99.99,Optical,Wireless,20000.0,Both,Pink
Razer Orochi V2,51.99,Optical,Wireless,18000.0,Right,White
Razer Naga Chroma,286.21,Laser,Wired,16000.0,Right,Black
Razer DeathAdder Elite,52.98,Optical,Wired,16000.0,Right,Black / Green
Logitech G705,77.04,Optical,"Wired, Wireless, Bluetooth Wireless",8200.0,Right,White
Glorious Model D 2 PRO,79.98,Optical,"Wired, Wireless",26000.0,Right,Black
Corsair M75,99.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000.0,Both,White
Logitech G903 HERO,99.99,Optical,Wireless,25600.0,Both,Black
Genius DX 120,0.0,Optical,Wired,1000.0,Both,Black
Corsair M65 RGB ELITE,130.0,Optical,Wired,17995.0,Right,White
Logitech G Pro X Superlight,99.99,Optical,Wireless,25400.0,Right,Pink
Asus ROG HARPE ACE AIM LAB EDITION,119.99,Optical,"Wired, Wireless",36000.0,Right,White
Logitech G502 X,115.01,Optical,"Wired, Wired, Wireless",25600.0,Right,White
Logitech G700,425.0,Laser,Wireless,5700.0,Right,Black
Razer Basilisk V3 X Hyperspeed,59.42,Optical,"Wired, Wireless, Bluetooth Wireless",18000.0,Right,Black
SteelSeries Aerox 3 (2022),75.95,Optical,"Wired, Wireless, Bluetooth Wireless",18000.0,Right,Black
Razer Mamba Elite,44.95,Optical,Wired,16000.0,Right,Black
KLIM Aim,9.97,Optical,Wired,7000.0,Right,Silver
Logitech MX MASTER 2S (Black),65.98,Laser,Wireless,4000.0,Right,Black
Logitech G903,94.89,Optical,Wireless,12000.0,Both,Black / Blue
Razer Basilisk Ultimate,89.99,Optical,"Wired, Wireless",20000.0,Right,Black / Green
Asus TUF Gaming M3,28.99,Optical,Wired,7000.0,Right,Black
Genius DX 110,8.19,Optical,Wired,1000.0,Both,Black
Logitech M100,9.99,Optical,Wired,1000.0,Both,Black
Cooler Master MM711 Matte Black,24.79,Optical,Wired,16000.0,Right,Black
Corsair SABRE RGB PRO CHAMPION SERIES,56.0,Optical,Wired,18000.0,Right,Black
SteelSeries Aerox 3,149.99,Optical,Bluetooth Wireless,18000.0,Right,Black
