name,price,type,efficiency,wattage,modular,color
Gigabyte P550B,78.98,ATX,bronze,550,false,Black
Asus TUF Gaming B,50.99,ATX,bronze,450,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,89.99,ATX,gold,750,Full,Black
Corsair CX550 (2017),167.87,ATX,bronze,550,false,Unknown
MSI MPG A750GF WHITE,0.0,ATX,gold,750,Full,White
EVGA SuperNOVA 550 GM,0.0,SFX,gold,550,Full,Black
Cooler Master G700,69.99,ATX,gold,700,false,Black
EVGA SuperNOVA 750 G2,0.0,ATX,gold,750,Full,Unknown
SeaSonic PRIME TX-1300 ATX 3.0,496.98,ATX,titanium,1300,Full,Black / Silver
Corsair SF600,215.0,SFX,platinum,600,Full,Black
Gigabyte UD-GM PG5,124.99,ATX,gold,850,Full,White
EVGA 750 N1,63.46,ATX,Unknown,750,false,Unknown
Deepcool PX1000G WH,153.98,ATX,gold,1000,Full,White
EVGA 650 GQ,94.95,ATX,gold,650,Semi,Unknown
Asus TUF Gaming 750G,99.99,ATX,gold,750,Full,Black
Gigabyte P-B,0.0,ATX,bronze,650,false,Black
SeaSonic PRIME Ultra Titanium,0.0,ATX,titanium,1000,Full,Unknown
Gigabyte P850GM,129.99,ATX,gold,850,Full,Black
Antec NeoECO Gold,139.38,ATX,gold,750,Full,Unknown
be quiet! SFX L Power,128.84,SFX,gold,500,Full,Unknown
Corsair RM1200x SHIFT,239.99,ATX,gold,1200,Full / Side,White
EVGA 600 W1,60.91,ATX,plus,600,false,Unknown
SeaSonic VERTEX GX-1000,169.99,ATX,gold,1000,Full,Black / Silver
EVGA 850 BQ,93.31,ATX,bronze,850,Semi,Unknown
Silverstone SFX,217.98,SFX,titanium,800,Full,Unknown
EVGA SuperNOVA 850G XC,99.99,ATX,gold,850,Full,Black
Corsair HX1000i,362.62,ATX,platinum,1000,Full,Unknown
SeaSonic VERTEX PX-1200,295.0,ATX,platinum,1200,Full,Black / Silver
Corsair RM850x (2018),174.88,ATX,gold,850,Full,Black
Silverstone SX500-G,107.99,SFX,gold,500,Full,Unknown
Deepcool PF500 230V,0.0,ATX,plus,500,false,Black
Corsair CV750,0.0,ATX,bronze,750,false,Black
ARESGAME AGV,0.0,ATX,bronze,650,false,Black
EVGA SuperNOVA 1600 G2,599.99,ATX,gold,1600,Full,Unknown
Silverstone HELA 2050R Platinum,0.0,ATX,Unknown,2050,Full,Black
be quiet! SFX Power 3 450,179.5,SFX,bronze,450,false,Black
be quiet! Dark Power 13,159.9,ATX,titanium,750,Full,Black
MSI MEG Ai1000P PCIE5,251.0,ATX,platinum,1000,Full,Black / Copper
SeaSonic S12III,69.0,ATX,bronze,650,false,Black
Thermaltake Toughpower GF3 TT Premium,99.99,ATX,gold,750,Full,Black
Vetroo GV1000,129.99,ATX,gold,1000,Full,White
Azza PSAZ-550W,54.31,ATX,bronze,550,false,Black
SeaSonic G12 GC,0.0,ATX,gold,650,false,Black / Blue
Montech TITAN GOLD 850W,0.0,ATX,gold,850,Full,Black
Thermaltake TR2 S,74.2,ATX,plus,600,false,Black
SeaSonic FOCUS SPX (2021),188.43,SFX,platinum,750,Full,Black
Asus ROG LOKI,213.99,SFX,platinum,850,Full,White / Silver
PowerSpec PS 650BF,58.99,ATX,bronze,650,false,Black
Corsair RM750x (2018),164.99,ATX,gold,750,Full,Black
PowerSpec PS 750BSM,72.98,ATX,bronze,750,Semi,Black
Corsair RM650x (2021),0.0,ATX,gold,650,Full,Black
be quiet! System Power 10,238.16,ATX,bronze,750,false,Black
Montech CENTURY MINI,98.9,SFX,gold,750,Full,Black
Thermaltake TR2,62.09,ATX,Unknown,500,false,Unknown
MSI MPG A650GF,0.0,ATX,gold,650,Full,Black
ADATA XPG PYLON,0.0,ATX,bronze,650,false,Black
ARESGAME AGV,0.0,ATX,bronze,500,false,Black
be quiet! Pure Power 12 M,149.9,ATX,gold,550,Full,Black
Corsair RM850x,174.88,ATX,gold,850,Full,Unknown
Corsair RM650x (2018),182.99,ATX,gold,650,Full,Black / Silver
Thermaltake Toughpower GF3 TT Premium,162.99,ATX,gold,1000,Full,Black
Asus ROG LOKI,207.99,SFX,platinum,850,Full,Black / Silver
be quiet! System Power 10,186.12,ATX,bronze,550,false,Black
be quiet! Straight Power 12,249.9,ATX,platinum,1500,Full,Black
EVGA SuperNOVA 750 GM,149.99,SFX,gold,750,Full,Black
Raidmax XT,30.99,ATX,Unknown,400,false,Unknown
EVGA SuperNOVA 650 G+,107.67,ATX,gold,650,Full,Black
EVGA 750 BP,71.99,ATX,bronze,750,false,Black
Silverstone SFX,111.67,SFX,gold,500,Full,Unknown
Thermaltake Smart BX1 650,59.99,ATX,bronze,650,false,Black
SeaSonic FOCUS PX,134.99,ATX,platinum,850,Full,Black
EVGA SuperNOVA 1300 GT,188.99,ATX,gold,1300,Full,Black
Asus ROG THOR 1200P,0.0,ATX,platinum,1200,Full,Black
Asus ROG Strix,134.99,ATX,gold,750,Full,Black / Red
Corsair HX1200i,319.99,ATX,platinum,1200,Full,Black
Asus ROG LOKI,174.99,SFX,platinum,750,Full,Black / Silver
Asus ROG Strix Aura Edition,204.99,ATX,gold,1000,Full,Black
be quiet! System Power 10,302.47,ATX,gold,850,false,Black
Asus ROG-STRIX-850G,155.94,ATX,gold,850,Full,Black
Montech TITAN GOLD 1200W,140.24,ATX,gold,1200,Full,Black
Corsair CX650 (2017),126.0,ATX,bronze,650,false,Unknown
Silverstone DA850 Gold,0.0,ATX,gold,850,Full,Black / White
Gigabyte P650G (US),0.0,ATX,gold,650,false,Black
Apevia Signature,68.98,ATX,bronze,1050,Semi,Black
Super Flower Leadex Platinum SE,139.99,ATX,platinum,1000,Full,Black
EVGA 700 BQ,74.98,ATX,bronze,700,Semi,Black
Super Flower Leadex Platinum SE,159.99,ATX,platinum,1200,Full,Black
Phanteks Revolt SFX,199.99,SFX,platinum,850,Full,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,139.99,ATX,gold,1050,Full,Black
EVGA 750 GQ,99.0,ATX,gold,750,Semi,Unknown
EVGA SuperNOVA 650 P5,94.99,ATX,platinum,650,Full,Black / Teal
MSI MPG A1000G,299.39,ATX,gold,1000,Full,Black
Deepcool PF600 230V,0.0,ATX,plus,600,false,Black
Deepcool PK500D,0.0,ATX,bronze,500,false,Black
EVGA SuperNOVA 1000 G+,341.99,ATX,gold,1000,Full,Black
MSI MPG A850GF,192.9,ATX,gold,850,Full,Black
Deepcool PK600D,0.0,ATX,bronze,600,false,Black
Cooler Master MWE Gold V2 ATX3.0,139.97,ATX,gold,1050,Full,Black
Super Flower Leadex III Gold,99.99,ATX,gold,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,0.0,ATX,gold,850,Full,Black
be quiet! Pure Power 11,0.0,ATX,gold,500,false,Black
EVGA SuperNOVA 850 G5,144.87,ATX,gold,850,Full,Black / Green
Thermaltake Toughpower GF A3 - TT Premium Edition,181.05,ATX,gold,1200,Full,Black
Super Flower Leadex Titanium,189.99,ATX,titanium,1000,Full,Black
Corsair AX1200i,587.73,ATX,platinum,1200,Full,Unknown
Thermaltake Smart BM2,0.0,ATX,bronze,550,Semi,Black
Deepcool PF650 230V,0.0,ATX,plus,650,false,Black
Deepcool PK750D,0.0,ATX,bronze,750,false,Black
be quiet! Pure Power 11 600,143.58,ATX,gold,600,false,Black
EVGA 450 BR,109.99,ATX,bronze,450,false,Unknown
Cooler Master V650 SFX GOLD,0.0,SFX,gold,650,Full,Black
Corsair CX750 (2017),94.99,ATX,bronze,750,false,Unknown
Thermaltake Smart BM3,79.98,ATX,bronze,650,Semi,Black
Corsair HX1000 Platinum,369.95,ATX,platinum,1000,Full,Unknown
SeaSonic B12 BC,0.0,ATX,bronze,750,false,Unknown
Corsair CX450M (2015),0.0,ATX,bronze,450,Semi,Unknown
Silverstone SFX,75.84,SFX,bronze,300,false,Black
Thermaltake Toughpower GF A3 ATX 3.0,0.0,ATX,gold,850,Full,Black
Corsair RM650 (2019),219.99,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 G3,0.0,ATX,gold,750,Full,Unknown
Asus Prime AP-850G,129.99,ATX,gold,850,Full,White / Black
Corsair RM850,179.96,ATX,gold,850,Full,Black
CoolMax ZX-500,39.99,ATX,plus,500,false,Unknown
Cooler Master M2000,0.0,ATX,platinum,2000,Full,Black
Silverstone FX500-G,139.99,Flex ATX,gold,500,false,Black
Segotep GM,0.0,ATX,gold,750,Full,Black
